,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment
10,"My orders are to examine Farpoint, a starbase built there by the inhabitants of that world.",PICARD V.O.,1.0,102.txt,"['My', 'orders', 'examine', 'Farpoint', 'starbase', 'built', 'inhabitants', 'world']","['My', 'order', 'examin', 'Farpoint', 'starbas', 'built', 'inhabit', 'world']","['My', 'order', 'examin', 'Farpoint', 'starbas', 'built', 'inhabit', 'world']",8.0,0.0
11,Meanwhile ...3,PICARD V.O.,1.0,102.txt,"['Meanwhile', '3']","['Meanwhil', '3']","['Meanwhil', '3']",2.0,0.0
12,"Huge, with a giant wall diagram showing the immensity of this Galaxy Class starship.",ENGINE ROOM,1.0,102.txt,"['Huge', 'giant', 'wall', 'diagram', 'showing', 'immensity', 'Galaxy', 'Class', 'starship']","['Huge', 'giant', 'wall', 'diagram', 'show', 'immens', 'Galaxi', 'Class', 'starship']","['Huge', 'giant', 'wall', 'diagram', 'show', 'immens', 'Galaxi', 'Class', 'starship']",9.0,0.3182
13,,PICARD V.O.,1.0,102.txt,[],[],[],0.0,0.0
14,(continuing) ...,PICARD V.O.,1.0,102.txt,['continuing'],['continu'],['continu'],1.0,0.0
15,"am becoming better acquainted with my new command, this Galaxy Class",U.S.S.,1.0,102.txt,"['becoming', 'better', 'acquainted', 'new', 'command', 'Galaxy', 'Class']","['becom', 'better', 'acquaint', 'new', 'command', 'Galaxi', 'Class']","['becom', 'better', 'acquaint', 'new', 'command', 'Galaxi', 'Class']",7.0,0.4404
16,Enterprise.4 Showing the details and size of this enormous starship.,U.S.S.,1.0,102.txt,"['Enterprise4', 'Showing', 'details', 'size', 'enormous', 'starship']","['Enterprise4', 'Show', 'detail', 'size', 'enorm', 'starship']","['Enterprise4', 'Show', 'detail', 'size', 'enorm', 'starship']",6.0,0.0
17,,PICARD V.O.,1.0,102.txt,[],[],[],0.0,0.0
18,am still somewhat in awe of its size and complexity.5,INT.,1.0,102.txt,"['still', 'somewhat', 'awe', 'size', 'complexity5']","['still', 'somewhat', 'awe', 'size', 'complexity5']","['still', 'somewhat', 'awe', 'size', 'complexity5']",5.0,0.0
19,With its huge windows revealing the immense span of the Starship's outer surface.5,LOUNGE DECK CONTINUED: PICARD V.O.,1.0,102.txt,"['With', 'huge', 'windows', 'revealing', 'immense', 'span', 'Starships', 'outer', 'surface5']","['With', 'huge', 'window', 'reveal', 'immens', 'span', 'Starship', 'outer', 'surface5']","['With', 'huge', 'window', 'reveal', 'immens', 'span', 'Starship', 'outer', 'surface5']",9.0,0.3182
20,(continuing) ...,LOUNGE DECK CONTINUED: PICARD V.O.,1.0,102.txt,['continuing'],['continu'],['continu'],1.0,0.0
21,"my crew we are short in several key positions, most notably ...6",LOUNGE DECK CONTINUED: PICARD V.O.,1.0,102.txt,"['crew', 'short', 'several', 'key', 'positions', 'notably', '6']","['crew', 'short', 'sever', 'key', 'posit', 'notabl', '6']","['crew', 'short', 'sever', 'key', 'posit', 'notabl', '6']",7.0,0.0
22,and seated in the command area.,"BRIDGE WIDE ANGLE PICARD, TROI, DATA",1.0,102.txt,"['seated', 'command', 'area']","['seat', 'command', 'area']","['seat', 'command', 'area']",3.0,0.0
23,"Starfleet a young Klingon, is at the ""Ops"" station and a is at ""Conn"".","BRIDGE WIDE ANGLE PICARD, TROI, DATA",1.0,102.txt,"['Starfleet', 'young', 'Klingon', 'Ops', 'station', 'Conn']","['Starfleet', 'young', 'Klingon', 'Op', 'station', 'Conn']","['Starfleet', 'young', 'Klingon', 'Op', 'station', 'Conn']",6.0,0.0
24,,PICARD V.O.,1.0,102.txt,[],[],[],0.0,0.0
25,(continuing) ...,PICARD V.O.,1.0,102.txt,['continuing'],['continu'],['continu'],1.0,0.0
26,"a first officer, but am informed that a highly experienced man, one Commander William Riker, will be waiting to join our ship when we reach our Cygnus destination.7 As Picard turns to Data: You will agree, Data, that Starfleet's instructions are difficult?",PICARD V.O.,1.0,102.txt,"['first', 'officer', 'informed', 'highly', 'experienced', 'man', 'one', 'Commander', 'William', 'Riker', 'waiting', 'join', 'ship', 'reach', 'Cygnus', 'destination7', 'As', 'Picard', 'turns', 'Data', 'You', 'agree', 'Data', 'Starfleets', 'instructions', 'difficult']","['first', 'offic', 'inform', 'highli', 'experienc', 'man', 'one', 'Command', 'William', 'Riker', 'wait', 'join', 'ship', 'reach', 'Cygnu', 'destination7', 'As', 'Picard', 'turn', 'Data', 'You', 'agre', 'Data', 'Starfleet', 'instruct', 'difficult']","['first', 'offic', 'inform', 'highli', 'experienc', 'man', 'one', 'Command', 'William', 'Riker', 'wait', 'join', 'ship', 'reach', 'Cygnu', 'destination7', 'As', 'Picard', 'turn', 'Data', 'You', 'agre', 'Data', 'Starfleet', 'instruct', 'difficult']",26.0,-0.0516
27,Difficult ...,DATA,1.0,102.txt,['Difficult'],['Difficult'],['Difficult'],1.0,-0.3612
28,how so?,DATA,1.0,102.txt,[],[],[],0.0,0.0
29,Simply solve the mystery of Farpoint Station.,DATA,1.0,102.txt,"['Simply', 'solve', 'mystery', 'Farpoint', 'Station']","['Simpli', 'solv', 'mysteri', 'Farpoint', 'Station']","['Simpli', 'solv', 'mysteri', 'Farpoint', 'Station']",5.0,0.0
30,(smiles) As simple as that.,PICARD,1.0,102.txt,"['smiles', 'As', 'simple']","['smile', 'As', 'simpl']","['smile', 'As', 'simpl']",3.0,0.3612
31,Farpoint Station.,TROI,1.0,102.txt,"['Farpoint', 'Station']","['Farpoint', 'Station']","['Farpoint', 'Station']",2.0,0.0
32,Even the name sounds mysterious.,TROI,1.0,102.txt,"['Even', 'name', 'sounds', 'mysterious']","['Even', 'name', 'sound', 'mysteri']","['Even', 'name', 'sound', 'mysteri']",4.0,0.0
33,"The problem, Data, is that another life form built that base.",PICARD,1.0,102.txt,"['The', 'problem', 'Data', 'another', 'life', 'form', 'built', 'base']","['The', 'problem', 'Data', 'anoth', 'life', 'form', 'built', 'base']","['The', 'problem', 'Data', 'anoth', 'life', 'form', 'built', 'base']",8.0,-0.4019
34,How do negotiate a friendly agreement for Starfleet to use it while at the same time snoop around finding how and why they built it?7 Inquiry ...,PICARD,1.0,102.txt,"['How', 'negotiate', 'friendly', 'agreement', 'Starfleet', 'use', 'time', 'snoop', 'around', 'finding', 'built', 'it7', 'Inquiry']","['How', 'negoti', 'friendli', 'agreement', 'Starfleet', 'use', 'time', 'snoop', 'around', 'find', 'built', 'it7', 'Inquiri']","['How', 'negoti', 'friendli', 'agreement', 'Starfleet', 'use', 'time', 'snoop', 'around', 'find', 'built', 'it7', 'Inquiri']",13.0,0.4939
35,the word snoop ...,PICARD,1.0,102.txt,"['word', 'snoop']","['word', 'snoop']","['word', 'snoop']",2.0,0.0
36,?,PICARD,1.0,102.txt,[],[],[],0.0,0.0
37,"Data, how can you be programmed as a virtual encyclopedia of human information without knowing a simple word like snoop?",PICARD,1.0,102.txt,"['Data', 'programmed', 'virtual', 'encyclopedia', 'human', 'information', 'without', 'knowing', 'simple', 'word', 'like', 'snoop']","['Data', 'program', 'virtual', 'encyclopedia', 'human', 'inform', 'without', 'know', 'simpl', 'word', 'like', 'snoop']","['Data', 'program', 'virtual', 'encyclopedia', 'human', 'inform', 'without', 'know', 'simpl', 'word', 'like', 'snoop']",12.0,0.3612
38,Possibility ...,DATA,1.0,102.txt,['Possibility'],['Possibl'],['Possibl'],1.0,0.0
39,a kind of human behavior was not designed to emulate?,DATA,1.0,102.txt,"['kind', 'human', 'behavior', 'designed', 'emulate']","['kind', 'human', 'behavior', 'design', 'emul']","['kind', 'human', 'behavior', 'design', 'emul']",5.0,0.5267
40,It is all Troi can do to keep from smiling.,DATA,1.0,102.txt,"['It', 'Troi', 'keep', 'smiling']","['It', 'Troi', 'keep', 'smile']","['It', 'Troi', 'keep', 'smile']",4.0,0.3612
41,"It means 'to spy, to sneak' ...",PICARD,1.0,102.txt,"['It', 'means', 'spy', 'sneak']","['It', 'mean', 'spi', 'sneak']","['It', 'mean', 'spi', 'sneak']",4.0,0.0
42,(interrupting; delighted) Ah!,DATA,1.0,102.txt,"['interrupting', 'delighted', 'Ah']","['interrupt', 'delight', 'Ah']","['interrupt', 'delight', 'Ah']",3.0,0.3612
43,"To seek covertly, to go stealthily, to slink, slither ...",DATA,1.0,102.txt,"['To', 'seek', 'covertly', 'go', 'stealthily', 'slink', 'slither']","['To', 'seek', 'covertli', 'go', 'stealthili', 'slink', 'slither']","['To', 'seek', 'covertli', 'go', 'stealthili', 'slink', 'slither']",7.0,0.0
44,"(wanting to cut it off) Exactly, yes ...",PICARD,1.0,102.txt,"['wanting', 'cut', 'Exactly', 'yes']","['want', 'cut', 'Exactli', 'ye']","['want', 'cut', 'Exactli', 'ye']",4.0,-0.2023
45,...,DATA,1.0,102.txt,[],[],[],0.0,0.0
46,"to glide, creep, skulk, pussyfoot, gumshoe ...",DATA,1.0,102.txt,"['glide', 'creep', 'skulk', 'pussyfoot', 'gumshoe']","['glide', 'creep', 'skulk', 'pussyfoot', 'gumsho']","['glide', 'creep', 'skulk', 'pussyfoot', 'gumsho']",5.0,0.0
47,"Data trails off his words, finally becoming aware of the annoyance registering on Picard's face.",DATA,1.0,102.txt,"['Data', 'trails', 'words', 'finally', 'becoming', 'aware', 'annoyance', 'registering', 'Picards', 'face']","['Data', 'trail', 'word', 'final', 'becom', 'awar', 'annoy', 'regist', 'Picard', 'face']","['Data', 'trail', 'word', 'final', 'becom', 'awar', 'annoy', 'regist', 'Picard', 'face']",10.0,-0.4404
48,Troi cannot keep back the smile now ...,DATA,1.0,102.txt,"['Troi', 'cannot', 'keep', 'back', 'smile']","['Troi', 'cannot', 'keep', 'back', 'smile']","['Troi', 'cannot', 'keep', 'back', 'smile']",5.0,-0.2755
49,then suddenly her face is contorted in pain.,DATA,1.0,102.txt,"['suddenly', 'face', 'contorted', 'pain']","['suddenli', 'face', 'contort', 'pain']","['suddenli', 'face', 'contort', 'pain']",4.0,-0.5106
50,Captain ...,TROI,1.0,102.txt,['Captain'],['Captain'],['Captain'],1.0,0.0
51,I'm sensing a ...,TROI,1.0,102.txt,"['Im', 'sensing']","['Im', 'sens']","['Im', 'sen']",2.0,0.0
52,a powerful mind ...,TROI,1.0,102.txt,"['powerful', 'mind']","['power', 'mind']","['power', 'mind']",2.0,0.0
53,"Interrupted by the sound of a All checking their consoles, puzzled at readings they're getting.",TROI,1.0,102.txt,"['Interrupted', 'sound', 'All', 'checking', 'consoles', 'puzzled', 'readings', 'theyre', 'getting']","['Interrupt', 'sound', 'All', 'check', 'consol', 'puzzl', 'read', 'theyr', 'get']","['Interrupt', 'sound', 'All', 'check', 'consol', 'puzzl', 'read', 'theyr', 'get']",9.0,-0.34
54,Something strange on the detector circuits ...8 by an ever more compelling (similar to the old naval begins to sound.,WORF CONTINUED: OVERLAPPED SECOND BRIDGE ALARM HONKING SOUND),1.0,102.txt,"['Something', 'strange', 'detector', 'circuits', '8', 'ever', 'compelling', 'similar', 'old', 'naval', 'begins', 'sound']","['Someth', 'strang', 'detector', 'circuit', '8', 'ever', 'compel', 'similar', 'old', 'naval', 'begin', 'sound']","['Someth', 'strang', 'detector', 'circuit', '8', 'ever', 'compel', 'similar', 'old', 'naval', 'begin', 'sound']",12.0,0.0
55,"At the same time, the main viewer and an unusual stretching across the whole of the galaxy ahead of them.9",WORF CONTINUED: OVERLAPPED SECOND BRIDGE ALARM HONKING SOUND),1.0,102.txt,"['At', 'time', 'main', 'viewer', 'unusual', 'stretching', 'across', 'whole', 'galaxy', 'ahead', 'them9']","['At', 'time', 'main', 'viewer', 'unusu', 'stretch', 'across', 'whole', 'galaxi', 'ahead', 'them9']","['At', 'time', 'main', 'viewer', 'unusu', 'stretch', 'across', 'whole', 'galaxi', 'ahead', 'them9']",11.0,0.0
56,Emphasizing the incredibly which the Enterprise is approaching.,SPACE ENTERPRISE AND GRID (OPTICAL) SHINING GRID,1.0,102.txt,"['Emphasizing', 'incredibly', 'Enterprise', 'approaching']","['Emphas', 'incred', 'Enterpris', 'approach']","['Emphas', 'incred', 'Enterpris', 'approach']",4.0,0.0
57,"Seeming impossibly large, yet in some ways as delicate as a spiderweb, it is composed of interlocking geometrical shapes ",SPACE ENTERPRISE AND GRID (OPTICAL) SHINING GRID,1.0,102.txt,"['Seeming', 'impossibly', 'large', 'yet', 'ways', 'delicate', 'spiderweb', 'composed', 'interlocking', 'geometrical', 'shapes']","['Seem', 'imposs', 'larg', 'yet', 'way', 'delic', 'spiderweb', 'compos', 'interlock', 'geometr', 'shape']","['Seem', 'imposs', 'larg', 'yet', 'way', 'delic', 'spiderweb', 'compos', 'interlock', 'geometr', 'shape']",11.0,0.0
58,"Data is looking up from his command position console, showing as much alarm as we'll ever see on his face.",BRIDGE VARIOUS ANGLES,1.0,102.txt,"['Data', 'looking', 'command', 'position', 'console', 'showing', 'much', 'alarm', 'well', 'ever', 'see', 'face']","['Data', 'look', 'command', 'posit', 'consol', 'show', 'much', 'alarm', 'well', 'ever', 'see', 'face']","['Data', 'look', 'command', 'posit', 'consol', 'show', 'much', 'alarm', 'well', 'ever', 'see', 'face']",12.0,-0.0772
59,"It registers as solid, Captain...",DATA,1.0,102.txt,"['It', 'registers', 'solid', 'Captain']","['It', 'regist', 'solid', 'Captain']","['It', 'regist', 'solid', 'Captain']",4.0,0.1531
60,Or an incredibly powerful forcefield.,TROI,1.0,102.txt,"['Or', 'incredibly', 'powerful', 'forcefield']","['Or', 'incred', 'power', 'forcefield']","['Or', 'incred', 'power', 'forcefield']",4.0,0.0
61,But if we collide with either ...,TROI,1.0,102.txt,"['But', 'collide', 'either']","['But', 'collid', 'either']","['But', 'collid', 'either']",3.0,0.0
62,(to Conn) Go to Condition Yellow.,PICARD,1.0,102.txt,"['Conn', 'Go', 'Condition', 'Yellow']","['Conn', 'Go', 'Condit', 'Yellow']","['Conn', 'Go', 'Condit', 'Yellow']",4.0,0.0
63,And shut off that damned noise.,PICARD,1.0,102.txt,"['And', 'shut', 'damned', 'noise']","['And', 'shut', 'damn', 'nois']","['And', 'shut', 'damn', 'nois']",4.0,-0.4019
64,Conn turns honking sound.,PICARD,1.0,102.txt,"['Conn', 'turns', 'honking', 'sound']","['Conn', 'turn', 'honk', 'sound']","['Conn', 'turn', 'honk', 'sound']",4.0,0.0
65,Picard is taking time to check all readings but we're now coming very close to the strange grid.,PICARD,1.0,102.txt,"['Picard', 'taking', 'time', 'check', 'readings', 'coming', 'close', 'strange', 'grid']","['Picard', 'take', 'time', 'check', 'read', 'come', 'close', 'strang', 'grid']","['Picard', 'take', 'time', 'check', 'read', 'come', 'close', 'strang', 'grid']",9.0,0.0
66,"Shields and deflectors, up, sir.",WORF,1.0,102.txt,"['Shields', 'deflectors', 'sir']","['Shield', 'deflector', 'sir']","['Shield', 'deflector', 'sir']",3.0,0.0
67,Milking the drama of approaching collision.,WORF,1.0,102.txt,"['Milking', 'drama', 'approaching', 'collision']","['Milk', 'drama', 'approach', 'collis']","['Milk', 'drama', 'approach', 'collis']",4.0,0.0
68,"Then, conversationally: Reverse power, full stop.",WORF,1.0,102.txt,"['Then', 'conversationally', 'Reverse', 'power', 'full', 'stop']","['Then', 'convers', 'Revers', 'power', 'full', 'stop']","['Then', 'convers', 'Revers', 'power', 'full', 'stop']",6.0,-0.296
69,"Controls to full stop, sir.",CONN,1.0,102.txt,"['Controls', 'full', 'stop', 'sir']","['Control', 'full', 'stop', 'sir']","['Control', 'full', 'stop', 'sir']",4.0,-0.296
70,The strange shimmering on the viewer is now very close to us as Enterprise movement stops.,CONN,1.0,102.txt,"['The', 'strange', 'shimmering', 'viewer', 'close', 'us', 'Enterprise', 'movement', 'stops']","['The', 'strang', 'shimmer', 'viewer', 'close', 'us', 'Enterpris', 'movement', 'stop']","['The', 'strang', 'shimmer', 'viewer', 'close', 'u', 'Enterpris', 'movement', 'stop']",9.0,-0.296
71,"Now reading full stop, sir Overlapped by something akin to a accompanied by a to the side of Picard.",CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['Now', 'reading', 'full', 'stop', 'sir', 'Overlapped', 'something', 'akin', 'accompanied', 'side', 'Picard']","['Now', 'read', 'full', 'stop', 'sir', 'Overlap', 'someth', 'akin', 'accompani', 'side', 'Picard']","['Now', 'read', 'full', 'stop', 'sir', 'Overlap', 'someth', 'akin', 'accompani', 'side', 'Picard']",11.0,-0.296
72,"The light burst physically shakes all bridge crew for an instant, then standing at that point on the bridge.",CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['The', 'light', 'burst', 'physically', 'shakes', 'bridge', 'crew', 'instant', 'standing', 'point', 'bridge']","['The', 'light', 'burst', 'physic', 'shake', 'bridg', 'crew', 'instant', 'stand', 'point', 'bridg']","['The', 'light', 'burst', 'physic', 'shake', 'bridg', 'crew', 'instant', 'stand', 'point', 'bridg']",11.0,-0.1779
73,"As the bridge crew's eyes adjust, it does indeed appear to be a human ...",CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['As', 'bridge', 'crews', 'eyes', 'adjust', 'indeed', 'appear', 'human']","['As', 'bridg', 'crew', 'eye', 'adjust', 'inde', 'appear', 'human']","['As', 'bridg', 'crew', 'eye', 'adjust', 'inde', 'appear', 'human']",8.0,0.0
74,"but one dressed and posturing as an Elizabethan era sea captain complete with Sir Walter Raleigh type ""court dress"", complete with neck ruffles, lace, leg stockings, ceremonial sword, etc.",CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['one', 'dressed', 'posturing', 'Elizabethan', 'era', 'sea', 'captain', 'complete', 'Sir', 'Walter', 'Raleigh', 'type', 'court', 'dress', 'complete', 'neck', 'ruffles', 'lace', 'leg', 'stockings', 'ceremonial', 'sword', 'etc']","['one', 'dress', 'postur', 'Elizabethan', 'era', 'sea', 'captain', 'complet', 'Sir', 'Walter', 'Raleigh', 'type', 'court', 'dress', 'complet', 'neck', 'ruffl', 'lace', 'leg', 'stock', 'ceremoni', 'sword', 'etc']","['one', 'dress', 'postur', 'Elizabethan', 'era', 'sea', 'captain', 'complet', 'Sir', 'Walter', 'Raleigh', 'type', 'court', 'dress', 'complet', 'neck', 'ruffl', 'lace', 'leg', 'stock', 'ceremoni', 'sword', 'etc']",23.0,0.0
75,"Now and later, we shall know this life form as as (Elizabethan) makes a formal bow (of that same era) to Picard.",CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['Now', 'later', 'shall', 'know', 'life', 'form', 'Elizabethan', 'makes', 'formal', 'bow', 'era', 'Picard']","['Now', 'later', 'shall', 'know', 'life', 'form', 'Elizabethan', 'make', 'formal', 'bow', 'era', 'Picard']","['Now', 'later', 'shall', 'know', 'life', 'form', 'Elizabethan', 'make', 'formal', 'bow', 'era', 'Picard']",12.0,0.0
76,At which the turbolift doors snap open and members start to led by Security and Weapons Officer,CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['At', 'turbolift', 'doors', 'snap', 'open', 'members', 'start', 'led', 'Security', 'Weapons', 'Officer']","['At', 'turbolift', 'door', 'snap', 'open', 'member', 'start', 'led', 'Secur', 'Weapon', 'Offic']","['At', 'turbolift', 'door', 'snap', 'open', 'member', 'start', 'led', 'Secur', 'Weapon', 'Offic']",11.0,-0.296
77,"However, merely gives a nod in that direction and a miniature of the space grid outside barring the security team's entrance and",CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['However', 'merely', 'gives', 'nod', 'direction', 'miniature', 'space', 'grid', 'outside', 'barring', 'security', 'teams', 'entrance']","['Howev', 'mere', 'give', 'nod', 'direct', 'miniatur', 'space', 'grid', 'outsid', 'bar', 'secur', 'team', 'entranc']","['Howev', 'mere', 'give', 'nod', 'direct', 'miniatur', 'space', 'grid', 'outsid', 'bar', 'secur', 'team', 'entranc']",13.0,0.0
78,Then turns toward Picard.,CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['Then', 'turns', 'toward', 'Picard']","['Then', 'turn', 'toward', 'Picard']","['Then', 'turn', 'toward', 'Picard']",4.0,0.0
79,You are notified that your kind has infiltrated the galaxy too far already.,CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['You', 'notified', 'kind', 'infiltrated', 'galaxy', 'far', 'already']","['You', 'notifi', 'kind', 'infiltr', 'galaxi', 'far', 'alreadi']","['You', 'notifi', 'kind', 'infiltr', 'galaxi', 'far', 'alreadi']",7.0,0.5267
80,"You are directed to return to your own solar system immediately We will see Conn stealthily, carefully reaching to the small phaser on his belt.",CONN CONTINUED: ROLLING THUNDER STORM BRILLIANT AND SUSTAINED FLASH OF LIGHT ON THE BRIDGE,1.0,102.txt,"['You', 'directed', 'return', 'solar', 'system', 'immediately', 'We', 'see', 'Conn', 'stealthily', 'carefully', 'reaching', 'small', 'phaser', 'belt']","['You', 'direct', 'return', 'solar', 'system', 'immedi', 'We', 'see', 'Conn', 'stealthili', 'care', 'reach', 'small', 'phaser', 'belt']","['You', 'direct', 'return', 'solar', 'system', 'immedi', 'We', 'see', 'Conn', 'stealthili', 'care', 'reach', 'small', 'phaser', 'belt']",15.0,0.5106
81,That's quite a directive.,PICARD,1.0,102.txt,"['Thats', 'quite', 'directive']","['That', 'quit', 'direct']","['That', 'quit', 'direct']",3.0,0.0
82,Would you mind identifying what you are?,PICARD,1.0,102.txt,"['Would', 'mind', 'identifying']","['Would', 'mind', 'identifi']","['Would', 'mind', 'identifi']",3.0,0.0
83,"We call ourselves ""the",PICARD,1.0,102.txt,"['We', 'call']","['We', 'call']","['We', 'call']",2.0,0.0
84,Or you may call me that; it's all much the same thing.,PICARD,1.0,102.txt,"['Or', 'may', 'call', 'much', 'thing']","['Or', 'may', 'call', 'much', 'thing']","['Or', 'may', 'call', 'much', 'thing']",5.0,0.0
85,(indicating costume) And have presented myself to you as a fellow ship captain so that you will better understand me.,PICARD,1.0,102.txt,"['indicating', 'costume', 'And', 'presented', 'fellow', 'ship', 'captain', 'better', 'understand']","['indic', 'costum', 'And', 'present', 'fellow', 'ship', 'captain', 'better', 'understand']","['indic', 'costum', 'And', 'present', 'fellow', 'ship', 'captain', 'better', 'understand']",9.0,0.4404
86,(indicates) Go back from where you.. Interrupted by Conn drawing his phaser.,PICARD,1.0,102.txt,"['indicates', 'Go', 'back', 'Interrupted', 'Conn', 'drawing', 'phaser']","['indic', 'Go', 'back', 'Interrupt', 'Conn', 'draw', 'phaser']","['indic', 'Go', 'back', 'Interrupt', 'Conn', 'draw', 'phaser']",7.0,-0.34
87,"But barely nods toward Conn at which a envelopes that bridge crewman, and we as Conn falls with the of a frozen hard object striking the deck.",PICARD,1.0,102.txt,"['But', 'barely', 'nods', 'toward', 'Conn', 'envelopes', 'bridge', 'crewman', 'Conn', 'falls', 'frozen', 'hard', 'object', 'striking', 'deck']","['But', 'bare', 'nod', 'toward', 'Conn', 'envelop', 'bridg', 'crewman', 'Conn', 'fall', 'frozen', 'hard', 'object', 'strike', 'deck']","['But', 'bare', 'nod', 'toward', 'Conn', 'envelop', 'bridg', 'crewman', 'Conn', 'fall', 'frozen', 'hard', 'object', 'strike', 'deck']",15.0,-0.2263
88,"Picard comes to his feet, ignoring as: Stay where you are Who is clearly very angry as he kneels at the prone form of Conn who appears to have been instantly frozen solid.",PICARD,1.0,102.txt,"['Picard', 'comes', 'feet', 'ignoring', 'Stay', 'Who', 'clearly', 'angry', 'kneels', 'prone', 'form', 'Conn', 'appears', 'instantly', 'frozen', 'solid']","['Picard', 'come', 'feet', 'ignor', 'Stay', 'Who', 'clearli', 'angri', 'kneel', 'prone', 'form', 'Conn', 'appear', 'instantli', 'frozen', 'solid']","['Picard', 'come', 'foot', 'ignor', 'Stay', 'Who', 'clearli', 'angri', 'kneel', 'prone', 'form', 'Conn', 'appear', 'instantli', 'frozen', 'solid']",16.0,0.1531
89,Troi hurries kneeling too.,PICARD,1.0,102.txt,"['Troi', 'hurries', 'kneeling']","['Troi', 'hurri', 'kneel']","['Troi', 'hurri', 'kneel']",3.0,0.0
90,There is even white evaporation vapor rising up from the body.,PICARD,1.0,102.txt,"['There', 'even', 'white', 'evaporation', 'vapor', 'rising', 'body']","['There', 'even', 'white', 'evapor', 'vapor', 'rise', 'bodi']","['There', 'even', 'white', 'evapor', 'vapor', 'rise', 'bodi']",7.0,0.0
